officer_name,tenure_id,tenure_idx,officer_id,post_id,officer_start_date_idx,start_date,end_date,start_order_id,start_detail_idx,end_order_id,end_detail_idx,role,manager_ids,reportee_ids,all_order_infos
Nityanand Kanungo,Q7041597-2,2,Q7041597,D:__department__>Ministry of Consumer Industries,0,1956-06-13,1957-04-16,1_Upload_3096.pdf,1,,-1,,[],[],"[('1_Upload_3096.pdf', 1)]"
Nityanand Kanungo,Q7041597-3,3,Q7041597,D:__department__>Ministry of Commerce and Industry,0,1957-04-16,1957-04-25,1_Upload_2023.pdf,19,1_Upload_3307.pdf,1,Minister of State,['Q218661-4'],[],"[('1_Upload_2023.pdf', 19)]"
Nityanand Kanungo,Q7041597-4,4,Q7041597,D:__department__>Ministry of Commerce,0,1957-04-25,1962-04-10,1_Upload_3307.pdf,1,,-1,Cabinet Minister,[],[],"[('1_Upload_3307.pdf', 1)]"
Nityanand Kanungo,Q7041597-5,5,Q7041597,D:__department__>Ministry of Commerce and Industry,0,1961-02-27,1962-04-10,1_Upload_2941.pdf,2,,-1,Minister of State,"['Q244689-4', 'Q6323235-3']",[],"[('1_Upload_2941.pdf', 2)]"
Nityanand Kanungo,Q7041597-6,6,Q7041597,D:__department__>Ministry of Commerce and Industry,0,1962-04-10,1962-12-04,1_Upload_2002.pdf,18,1_Upload_2928.pdf,20,Minister of State,['Q6323235-4'],[],"[('1_Upload_2002.pdf', 18), ('1_Upload_2922.pdf', 19), ('1_Upload_2924.pdf', 19), ('1_Upload_2925.pdf', 20), ('1_Upload_2926.pdf', 20), ('1_Upload_2927.pdf', 20)]"
Nityanand Kanungo,Q7041597-7,7,Q7041597,D:__department__>Ministry of Commerce,0,1962-12-04,1963-09-02,1_Upload_2928.pdf,20,1_Upload_2893.pdf,11,Minister of State,[],[],"[('1_Upload_2928.pdf', 20)]"
Nityanand Kanungo,Q7041597-8,8,Q7041597,D:__department__>Ministry of Industry,0,1962-04-10,1964-05-27,1_Upload_2002.pdf,18,,-1,Minister of State,[],[],"[('1_Upload_2002.pdf', 18), ('1_Upload_2922.pdf', 19), ('1_Upload_2924.pdf', 19), ('1_Upload_2925.pdf', 20), ('1_Upload_2926.pdf', 20), ('1_Upload_2927.pdf', 20), ('1_Upload_2928.pdf', 20), ('1_Upload_2928.pdf', 20), ('1_Upload_2893.pdf', 11), ('1_Upload_2894.pdf', 13)]"
Nityanand Kanungo,Q7041597-9,9,Q7041597,D:__department__>Ministry of Industry,0,1964-05-27,1964-06-09,1_Upload_2003.pdf,13,,-1,Minister of State,[],[],"[('1_Upload_2003.pdf', 13)]"
O. Rajagopal,Q7072165-0,0,Q7072165,D:__department__>Ministry of Law Justice and Company Affairs,0,1999-10-13,2000-07-24,1_Upload_2143.pdf,56,1_Upload_1668.pdf,2,Minister of State,['Q3530303-3'],[],"[('1_Upload_2143.pdf', 56), ('1_Upload_1751.pdf', 56), ('1_Upload_1753.pdf', 15), ('1_Upload_2144.pdf', 59), ('1_Upload_2146.pdf', 59), ('1_Upload_2060.pdf', 58), ('1_Upload_1668.pdf', 2)]"
O. Rajagopal,Q7072165-1,1,Q7072165,D:__department__>Ministry of Railways,0,2000-08-31,2002-07-01,1_Upload_2062.pdf,56,1_Upload_1704.pdf,23,Minister of State,"['Q122304-8', 'Q233289-59', 'Q465041-2']",[],"[('1_Upload_2062.pdf', 56), ('1_Upload_1670.pdf', 1), ('1_Upload_2063.pdf', 62), ('1_Upload_2064.pdf', 59), ('1_Upload_2065.pdf', 57), ('1_Upload_2066.pdf', 57), ('1_Upload_2067.pdf', 59), ('1_Upload_2068.pdf', 61), ('1_Upload_2069.pdf', 59), ('1_Upload_2070.pdf', 58), ('1_Upload_1704.pdf', 23)]"
O. Rajagopal,Q7072165-2,2,Q7072165,D:__department__>Ministry of Housing and Urban Poverty Alleviation,0,2002-07-01,2003-01-29,1_Upload_2071.pdf,64,1_Upload_1712.pdf,27,Minister of State,['Q4751468-8'],[],"[('1_Upload_2071.pdf', 64), ('1_Upload_1704.pdf', 23), ('1_Upload_2072.pdf', 64), ('1_Upload_1712.pdf', 27)]"
O. Rajagopal,Q7072165-3,3,Q7072165,D:__department__>Ministry of Parliamentary Affairs,0,1999-11-22,2003-01-29,1_Upload_2144.pdf,59,1_Upload_1712.pdf,27,Minister of State,['Q7238271-8'],[],"[('1_Upload_2144.pdf', 59), ('1_Upload_1753.pdf', 15), ('1_Upload_2146.pdf', 59), ('1_Upload_2060.pdf', 58), ('1_Upload_1668.pdf', 2), ('1_Upload_2061.pdf', 57), ('1_Upload_1670.pdf', 1), ('1_Upload_2062.pdf', 56), ('1_Upload_2063.pdf', 62), ('1_Upload_2064.pdf', 59), ('1_Upload_2065.pdf', 57), ('1_Upload_2066.pdf', 57), ('1_Upload_2067.pdf', 59), ('1_Upload_2068.pdf', 61), ('1_Upload_2069.pdf', 59), ('1_Upload_2070.pdf', 58), ('1_Upload_1704.pdf', 23), ('1_Upload_2071.pdf', 64), ('1_Upload_2072.pdf', 64), ('1_Upload_1712.pdf', 27)]"
O. Rajagopal,Q7072165-4,4,Q7072165,D:__department__>Ministry of Defence,0,2003-01-29,2004-05-22,1_Upload_1712.pdf,27,,-1,Minister of State,['Q3056379-5'],[],"[('1_Upload_1712.pdf', 27), ('1_Upload_1713.pdf', 0), ('1_Upload_2074.pdf', 65), ('1_Upload_2075.pdf', 64), ('1_Upload_2076.pdf', 69), ('1_Upload_2077.pdf', 68), ('1_Upload_2078.pdf', 70), ('1_Upload_2079.pdf', 66), ('1_Upload_2080.pdf', 64), ('1_Upload_2082.pdf', 64), ('1_Upload_2083.pdf', 62), ('1_Upload_2084.pdf', 62), ('1_Upload_2085.pdf', 60), ('1_Upload_2086.pdf', 60)]"
O. Rajagopal,Q7072165-5,5,Q7072165,D:__department__>Ministry of Parliamentary Affairs,0,2003-01-30,2004-05-22,1_Upload_2074.pdf,65,,-1,Minister of State,['Q1652493-5'],[],"[('1_Upload_2074.pdf', 65), ('1_Upload_1713.pdf', 0), ('1_Upload_2075.pdf', 64), ('1_Upload_2076.pdf', 69), ('1_Upload_2077.pdf', 68), ('1_Upload_2078.pdf', 70), ('1_Upload_2079.pdf', 66), ('1_Upload_2080.pdf', 64), ('1_Upload_2082.pdf', 64), ('1_Upload_2083.pdf', 62), ('1_Upload_2084.pdf', 62), ('1_Upload_2085.pdf', 60), ('1_Upload_2086.pdf', 60)]"
P. C. Thomas,Q7117171-0,0,Q7117171,D:__department__>Ministry of Law and Justice,0,2003-05-24,2004-05-22,1_Upload_2076.pdf,78,,-1,Minister of State,['Q3629480-6'],[],"[('1_Upload_2076.pdf', 78), ('1_Upload_1719.pdf', 17), ('1_Upload_2077.pdf', 77), ('1_Upload_2078.pdf', 79), ('1_Upload_2079.pdf', 75), ('1_Upload_2080.pdf', 73), ('1_Upload_2082.pdf', 73), ('1_Upload_2083.pdf', 71), ('1_Upload_2084.pdf', 71), ('1_Upload_2085.pdf', 69), ('1_Upload_2086.pdf', 68)]"
P. Radhakrishnan,Q7117480-0,0,Q7117480,D:__department__>Ministry of Youth Affairs and Sports,0,2000-09-03,2003-01-30,1_Upload_2063.pdf,60,1_Upload_1713.pdf,2,Minister of State,"['Q15135821-0', 'Q3109128-5', 'Q7635793-3']",[],"[('1_Upload_2063.pdf', 60), ('1_Upload_1673.pdf', 13), ('1_Upload_2064.pdf', 57), ('1_Upload_2065.pdf', 55), ('1_Upload_2066.pdf', 55), ('1_Upload_2067.pdf', 57), ('1_Upload_2068.pdf', 59), ('1_Upload_2069.pdf', 57), ('1_Upload_2070.pdf', 56), ('1_Upload_2071.pdf', 62), ('1_Upload_2072.pdf', 62), ('1_Upload_1713.pdf', 2)]"
P. Radhakrishnan,Q7117480-1,1,Q7117480,D:__department__>Ministry of Housing and Urban Poverty Alleviation,0,2003-01-30,2003-09-08,1_Upload_2074.pdf,63,1_Upload_1723.pdf,4,Minister of State,"['Q3630187-1', 'Q4751468-8']",[],"[('1_Upload_2074.pdf', 63), ('1_Upload_1713.pdf', 2), ('1_Upload_2075.pdf', 62), ('1_Upload_2076.pdf', 67), ('1_Upload_2077.pdf', 66), ('1_Upload_1723.pdf', 4)]"
