officer_name,tenure_id,tenure_idx,officer_id,post_id,officer_start_date_idx,start_date,end_date,start_order_id,start_detail_idx,end_order_id,end_detail_idx,role,manager_ids,reportee_ids,all_order_infos
Jawaharlal Nehru,Q1047-3,3,Q1047,D:__department__>Ministry of External Affairs,0,1952-05-13,1957-04-16,1_Upload_2945.pdf,0,,-1,Cabinet Minister,[],[],"[('1_Upload_2945.pdf', 0)]"
Jawaharlal Nehru,Q1047-4,4,Q1047,D:__department__>Ministry of Defence,0,1953-03-16,1957-04-16,1_Upload_2955.pdf,1,,-1,,[],[],"[('1_Upload_2955.pdf', 1), ('1_Upload_3082.pdf', 1)]"
Jawaharlal Nehru,Q1047-5,5,Q1047,D:__department__>Department of Atomic Energy,0,1957-04-16,1962-04-10,1_Upload_2023.pdf,0,,-1,Prime Minister,[],[],"[('1_Upload_2023.pdf', 0)]"
Jawaharlal Nehru,Q1047-6,6,Q1047,D:__department__>Ministry of External Affairs,0,1957-04-16,1962-04-10,1_Upload_2023.pdf,0,,-1,Prime Minister,[],"['Q60787549-0', 'Q6479884-0']","[('1_Upload_2023.pdf', 0)]"
Jawaharlal Nehru,Q1047-7,7,Q1047,D:__department__>Ministry of Finance,0,1957-09-17,1962-04-10,1_Upload_3312.pdf,0,,-1,,[],['Q2604943-1'],"[('1_Upload_3312.pdf', 0), ('1_Upload_3314.pdf', 1)]"
Jawaharlal Nehru,Q1047-8,8,Q1047,D:__department__>Ministry of Defence,0,1962-11-01,1962-11-21,1_Upload_2933.pdf,1,1_Upload_2927.pdf,0,,[],"['Q16007372-0', 'Q6433963-1']","[('1_Upload_2933.pdf', 1), ('1_Upload_2926.pdf', 0)]"
Jawaharlal Nehru,Q1047-9,9,Q1047,D:__department__>Department of Atomic Energy,0,1962-04-10,1964-05-27,1_Upload_2002.pdf,0,,-1,Prime Minister,[],[],"[('1_Upload_2002.pdf', 0), ('1_Upload_2922.pdf', 0), ('1_Upload_2924.pdf', 0), ('1_Upload_2925.pdf', 0), ('1_Upload_2926.pdf', 0), ('1_Upload_2927.pdf', 0), ('1_Upload_2928.pdf', 0), ('1_Upload_2893.pdf', 0), ('1_Upload_2894.pdf', 0)]"
Narendra Modi,Q1058-0,0,Q1058,D:__department__>Ministry of Civil Aviation,0,2018-03-09,2018-03-10,1_Upload_1387.pdf,0,1_Upload_1392.pdf,0,Prime Minister,[],['Q16897887-1'],"[('1_Upload_1387.pdf', 0), ('1_Upload_1388.pdf', 1)]"
Narendra Modi,Q1058-1,1,Q1058,D:__department__>Department of Atomic Energy,0,2014-05-27,2019-05-30,1_Upload_1782.pdf,0,,-1,Prime Minister,[],"['Q6203277-5', 'Q6203277-11']","[('1_Upload_1782.pdf', 0), ('1_Upload_1170.pdf', 0), ('1_Upload_1171.pdf', 0), ('1_Upload_1176.pdf', 0), ('1_Upload_1177.pdf', 0), ('1_Upload_1178.pdf', 0), ('1_Upload_230.pdf', 0), ('1_Upload_229.pdf', 0), ('1_Upload_1.pdf', 0), ('1_Upload_1195.pdf', 0), ('1_Upload_1211.pdf', 0), ('1_Upload_1215.pdf', 0), ('1_Upload_1235.pdf', 0), ('1_Upload_1249.pdf', 0), ('1_Upload_1266.pdf', 0), ('1_Upload_1387.pdf', 0), ('1_Upload_1392.pdf', 0), ('1_Upload_1421.pdf', 0), ('1_Upload_1495.pdf', 0), ('1_Upload_1516.pdf', 0), ('1_Upload_1733.pdf', 0), ('1_Upload_1763.pdf', 0), ('1_Upload_1787.pdf', 0), ('1_Upload_1807.pdf', 0)]"
Narendra Modi,Q1058-2,2,Q1058,D:__department__>Department of Space,0,2014-05-27,2019-05-30,1_Upload_1782.pdf,0,,-1,Prime Minister,[],"['Q6203277-6', 'Q6203277-12']","[('1_Upload_1782.pdf', 0), ('1_Upload_1170.pdf', 0), ('1_Upload_1171.pdf', 0), ('1_Upload_1176.pdf', 0), ('1_Upload_1177.pdf', 0), ('1_Upload_1178.pdf', 0), ('1_Upload_230.pdf', 0), ('1_Upload_229.pdf', 0), ('1_Upload_1.pdf', 0), ('1_Upload_1195.pdf', 0), ('1_Upload_1211.pdf', 0), ('1_Upload_1215.pdf', 0), ('1_Upload_1235.pdf', 0), ('1_Upload_1249.pdf', 0), ('1_Upload_1266.pdf', 0), ('1_Upload_1387.pdf', 0), ('1_Upload_1392.pdf', 0), ('1_Upload_1421.pdf', 0), ('1_Upload_1495.pdf', 0), ('1_Upload_1516.pdf', 0), ('1_Upload_1733.pdf', 0), ('1_Upload_1763.pdf', 0), ('1_Upload_1787.pdf', 0), ('1_Upload_1807.pdf', 0)]"
Narendra Modi,Q1058-3,3,Q1058,D:__department__>Ministry of Personnel Public Grievances and Pensions,0,2014-05-27,2019-05-30,1_Upload_1782.pdf,0,,-1,Prime Minister,[],"['Q6203277-7', 'Q6203277-13']","[('1_Upload_1782.pdf', 0), ('1_Upload_1170.pdf', 0), ('1_Upload_1171.pdf', 0), ('1_Upload_1176.pdf', 0), ('1_Upload_1177.pdf', 0), ('1_Upload_1178.pdf', 0), ('1_Upload_230.pdf', 0), ('1_Upload_229.pdf', 0), ('1_Upload_1.pdf', 0), ('1_Upload_1195.pdf', 0), ('1_Upload_1211.pdf', 0), ('1_Upload_1215.pdf', 0), ('1_Upload_1235.pdf', 0), ('1_Upload_1249.pdf', 0), ('1_Upload_1266.pdf', 0), ('1_Upload_1387.pdf', 0), ('1_Upload_1392.pdf', 0), ('1_Upload_1421.pdf', 0), ('1_Upload_1495.pdf', 0), ('1_Upload_1516.pdf', 0), ('1_Upload_1733.pdf', 0), ('1_Upload_1763.pdf', 0), ('1_Upload_1787.pdf', 0), ('1_Upload_1807.pdf', 0)]"
Narendra Modi,Q1058-4,4,Q1058,D:__department__>Department of Atomic Energy,0,2019-05-31,2024-06-09,1_Upload_1859.pdf,0,,-1,Prime Minister,[],['Q6203277-17'],"[('1_Upload_1859.pdf', 0), ('1_Upload_1873.pdf', 0), ('1_Upload_1943.pdf', 0), ('1_Upload_2388.pdf', 0), ('1_Upload_2398.pdf', 0), ('1_Upload_2405.pdf', 0), ('1_Upload_2447.pdf', 0), ('1_Upload_2606.pdf', 0), ('1_Upload_3158.pdf', 0), ('1_Upload_3297.pdf', 0), ('1_Upload_3634.pdf', 0), ('1_Upload_3795.pdf', 0), ('1_Upload_3837.pdf', 0)]"
Narendra Modi,Q1058-5,5,Q1058,D:__department__>Department of Space,0,2019-05-31,2024-06-09,1_Upload_1859.pdf,0,,-1,Prime Minister,[],['Q6203277-18'],"[('1_Upload_1859.pdf', 0), ('1_Upload_1873.pdf', 0), ('1_Upload_1943.pdf', 0), ('1_Upload_2388.pdf', 0), ('1_Upload_2398.pdf', 0), ('1_Upload_2405.pdf', 0), ('1_Upload_2447.pdf', 0), ('1_Upload_2606.pdf', 0), ('1_Upload_3158.pdf', 0), ('1_Upload_3297.pdf', 0), ('1_Upload_3634.pdf', 0), ('1_Upload_3795.pdf', 0), ('1_Upload_3837.pdf', 0)]"
